Date;Dernier;Ouv.; Plus Haut;Plus Bas;Vol. ();Variation %
22.11.22;112,44;112,20;112,76;111,74;1,40;0,27%
21.11.22;112,14;110,56;112,50;110,56;3,64;1,14%
18.11.22;110,88;110,14;111,44;110,10;4,14;0,91%
17.11.22;109,88;108,92;110,08;108,74;2,93;1,31%
16.11.22;108,46;108,20;108,76;107,74;3,30;0,65%
15.11.22;107,76;108,06;109,80;107,76;3,04;-0,30%
14.11.22;108,08;108,28;109,20;107,70;2,95;0,02%
11.11.22;108,06;110,00;110,22;107,38;4,84;-1,84%
10.11.22;110,08;108,82;110,70;108,52;4,00;0,88%
09.11.22;109,12;107,62;109,12;107,30;2,36;1,11%
08.11.22;107,92;107,90;108,32;107,10;2,81;0,32%
07.11.22;107,58;108,42;108,60;107,24;2,41;-0,99%
04.11.22;108,66;107,96;109,60;107,48;3,19;0,46%
03.11.22;108,16;108,76;108,84;107,64;2,52;-0,75%
02.11.22;108,98;108,60;109,60;108,28;3,09;0,50%
01.11.22;108,44;109,06;109,48;108,36;2,49;-0,55%
31.10.22;109,04;107,80;109,04;107,36;3,45;1,19%
28.10.22;107,76;105,40;107,90;105,40;2,47;0,43%
27.10.22;107,30;108,50;108,56;106,92;2,53;-0,98%
26.10.22;108,36;107,96;108,36;107,04;2,44;0,18%
25.10.22;108,16;107,32;108,32;107,08;2,49;0,97%
24.10.22;107,12;106,30;107,60;106,02;2,72;1,69%
21.10.22;105,34;105,18;106,20;104,88;4,00;-0,49%
20.10.22;105,86;106,98;107,08;105,46;3,60;-0,51%
19.10.22;106,40;108,00;108,06;106,40;3,13;-1,28%
18.10.22;107,78;107,68;108,56;107,02;2,99;0,20%
17.10.22;107,56;105,28;107,88;105,28;2,68;1,80%
14.10.22;105,66;105,42;106,92;105,42;3,70;0,65%
13.10.22;104,98;106,10;106,32;103,42;4,63;-1,09%
12.10.22;106,14;105,70;106,68;105,58;3,84;0,38%
11.10.22;105,74;105,54;105,88;104,04;4,66;-0,23%
10.10.22;105,98;105,78;106,26;104,78;3,09;-0,23%
07.10.22;106,22;106,02;107,62;105,94;2,23;-0,11%
06.10.22;106,34;107,00;108,58;106,22;2,71;-0,67%
05.10.22;107,06;107,22;107,82;106,66;2,62;-0,39%
04.10.22;107,48;106,40;107,82;106,30;3,27;0,96%
03.10.22;106,46;106,38;106,86;105,12;2,96;-0,58%
30.09.22;107,08;106,78;107,30;105,58;3,62;0,49%
29.09.22;106,56;105,24;106,84;104,78;4,75;0,76%
28.09.22;105,76;105,68;106,50;104,66;4,54;-0,53%
27.09.22;106,32;106,52;107,68;106,30;4,34;-0,19%
26.09.22;106,52;106,86;108,18;105,84;4,76;-0,52%
23.09.22;107,08;107,14;108,46;106,68;3,74;-0,28%
22.09.22;107,38;105,74;108,66;105,46;4,89;0,98%
21.09.22;106,34;106,18;106,98;106,00;3,51;0,02%
20.09.22;106,32;107,58;108,26;106,32;2,95;-1,41%
19.09.22;107,84;107,00;108,50;106,76;2,87;0,95%
16.09.22;106,82;107,90;108,64;106,82;14,19;-1,77%
15.09.22;108,74;109,06;109,86;108,24;2,81;-0,33%
14.09.22;109,10;111,20;111,22;109,10;3,77;-2,66%
13.09.22;112,08;111,92;113,52;111,92;3,28;0,20%
12.09.22;111,86;112,00;112,04;111,22;3,64;0,22%
09.09.22;111,62;110,22;112,14;110,06;3,34;1,38%
08.09.22;110,10;111,00;111,16;108,86;4,08;-0,99%
07.09.22;111,20;112,16;112,16;110,82;2,89;-1,09%
06.09.22;112,42;113,10;114,18;112,12;2,89;-0,51%
05.09.22;113,00;112,32;113,30;111,58;1,90;-0,37%
02.09.22;113,42;113,34;113,82;112,94;3,07;0,41%
01.09.22;112,96;114,66;114,66;112,96;3,07;-1,41%
31.08.22;114,58;115,16;115,48;113,82;3,87;-0,50%
30.08.22;115,16;115,80;116,52;114,82;2,61;-0,26%
29.08.22;115,46;115,36;116,00;114,60;2,04;-0,03%
26.08.22;115,50;116,78;116,82;115,20;2,37;-1,15%
25.08.22;116,84;116,56;117,38;115,90;2,09;0,48%
24.08.22;116,28;115,00;116,30;114,98;2,37;0,99%
23.08.22;115,14;116,50;116,64;115,04;2,78;-1,79%
22.08.22;117,24;116,60;117,54;116,30;1,75;0,27%
19.08.22;116,92;116,12;117,44;116,10;2,18;0,19%
